% Dados Termohalinos para Diagrama T-S
%     Hora           Prof. Z          Temp.           Sal.            Dens.
  1.3000000e+001  0.0000000e+000  2.7530000e+001  1.2730000e+001  1.0058800e+003
  1.3000000e+001 -1.0000000e-001  2.7543297e+001  1.3382842e+001  1.0063696e+003
  1.3000000e+001 -2.0000000e-001  2.7553299e+001  1.4095315e+001  1.0068990e+003
  1.3000000e+001 -3.0000000e-001  2.7560011e+001  1.4844607e+001  1.0074543e+003
  1.3000000e+001 -4.0000000e-001  2.7560000e+001  1.5557161e+001  1.0079871e+003
  1.3000000e+001 -5.0000000e-001  2.7563317e+001  1.6166716e+001  1.0084434e+003
  1.3000000e+001 -6.0000000e-001  2.7566648e+001  1.6789654e+001  1.0089131e+003
  1.3000000e+001 -7.0000000e-001  2.7566670e+001  1.7548691e+001  1.0094824e+003
  1.3000000e+001 -8.0000000e-001  2.7553449e+001  1.8398172e+001  1.0101253e+003
  1.3000000e+001 -9.0000000e-001  2.7533453e+001  1.9080546e+001  1.0106445e+003
  1.3000000e+001 -1.0000000e+000  2.7510000e+001  1.9540000e+001  1.0110000e+003
  1.3500000e+001  0.0000000e+000  2.7520000e+001  1.6060000e+001  1.0083600e+003
  1.3500000e+001 -1.0000000e-001  2.7570066e+001  1.5536205e+001  1.0079596e+003
  1.3500000e+001 -2.0000000e-001  2.7613424e+001  1.5320720e+001  1.0077905e+003
  1.3500000e+001 -3.0000000e-001  2.7640022e+001  1.5663866e+001  1.0080429e+003
  1.3500000e+001 -4.0000000e-001  2.7633129e+001  1.6802815e+001  1.0088971e+003
  1.3500000e+001 -5.0000000e-001  2.7580038e+001  1.8761784e+001  1.0103780e+003
  1.3500000e+001 -6.0000000e-001  2.7476942e+001  2.1511160e+001  1.0124691e+003
  1.3500000e+001 -7.0000000e-001  2.7357192e+001  2.4420837e+001  1.0146838e+003
  1.3500000e+001 -8.0000000e-001  2.7260266e+001  2.6683842e+001  1.0164153e+003
  1.3500000e+001 -9.0000000e-001  2.7213405e+001  2.7775002e+001  1.0172487e+003
  1.3500000e+001 -1.0000000e+000  2.7200000e+001  2.8090000e+001  1.0174900e+003
  1.4000000e+001  0.0000000e+000  2.7650000e+001  1.4150000e+001  1.0069100e+003
  1.4000000e+001 -1.0000000e-001  2.7650000e+001  1.4640000e+001  1.0072733e+003
  1.4000000e+001 -2.0000000e-001  2.7650000e+001  1.5250000e+001  1.0077300e+003
  1.4000000e+001 -3.0000000e-001  2.7636667e+001  1.6276667e+001  1.0085033e+003
  1.4000000e+001 -4.0000000e-001  2.7583333e+001  1.8243333e+001  1.0099933e+003
  1.4000000e+001 -5.0000000e-001  2.7476667e+001  2.1370000e+001  1.0123633e+003
  1.4000000e+001 -6.0000000e-001  2.7343333e+001  2.4903333e+001  1.0150533e+003
  1.4000000e+001 -7.0000000e-001  2.7236667e+001  2.7666667e+001  1.0171600e+003
  1.4000000e+001 -8.0000000e-001  2.7180000e+001  2.8960000e+001  1.0181533e+003
  1.4000000e+001 -9.0000000e-001  2.7173333e+001  2.9180000e+001  1.0183233e+003
  1.4000000e+001 -1.0000000e+000  2.7190000e+001  2.8980000e+001  1.0181700e+003
  1.4500000e+001  0.0000000e+000  2.7660000e+001  1.5330000e+001  1.0077800e+003
  1.4500000e+001 -1.0000000e-001  2.7590000e+001  1.7073333e+001  1.0091067e+003
  1.4500000e+001 -2.0000000e-001  2.7510000e+001  1.9256667e+001  1.0107667e+003
  1.4500000e+001 -3.0000000e-001  2.7413333e+001  2.2066667e+001  1.0128967e+003
  1.4500000e+001 -4.0000000e-001  2.7310000e+001  2.5260000e+001  1.0153233e+003
  1.4500000e+001 -5.0000000e-001  2.7226667e+001  2.7940000e+001  1.0173567e+003
  1.4500000e+001 -6.0000000e-001  2.7186667e+001  2.9560000e+001  1.0185900e+003
  1.4500000e+001 -7.0000000e-001  2.7176667e+001  3.0230000e+001  1.0191000e+003
  1.4500000e+001 -8.0000000e-001  2.7180000e+001  3.0386667e+001  1.0192233e+003
  1.4500000e+001 -9.0000000e-001  2.7176667e+001  3.0426667e+001  1.0192567e+003
  1.4500000e+001 -1.0000000e+000  2.7170000e+001  3.0480000e+001  1.0193000e+003
  1.5000000e+001  0.0000000e+000  2.7230000e+001  1.6460000e+001  1.0087500e+003
  1.5000000e+001 -1.0000000e-001  2.7196657e+001  1.9166751e+001  1.0107859e+003
  1.5000000e+001 -2.0000000e-001  2.7163314e+001  2.2541906e+001  1.0133239e+003
  1.5000000e+001 -3.0000000e-001  2.7133275e+001  2.6249261e+001  1.0161145e+003
  1.5000000e+001 -4.0000000e-001  2.7116672e+001  2.9413791e+001  1.0184970e+003
  1.5000000e+001 -5.0000000e-001  2.7110010e+001  3.1001936e+001  1.0196956e+003
  1.5000000e+001 -6.0000000e-001  2.7106671e+001  3.1387042e+001  1.0199903e+003
  1.5000000e+001 -7.0000000e-001  2.7103329e+001  3.1413266e+001  1.0200166e+003
  1.5000000e+001 -8.0000000e-001  2.7100003e+001  3.1453338e+001  1.0200500e+003
  1.5000000e+001 -9.0000000e-001  2.7103334e+001  3.1493375e+001  1.0200834e+003
  1.5000000e+001 -1.0000000e+000  2.7110000e+001  3.1550000e+001  1.0201300e+003
  1.5500000e+001  0.0000000e+000  2.7150000e+001  1.9820000e+001  1.0112900e+003
  1.5500000e+001 -1.0000000e-001  2.7126614e+001  2.3653759e+001  1.0141687e+003
  1.5500000e+001 -2.0000000e-001  2.7099873e+001  2.7382144e+001  1.0169725e+003
  1.5500000e+001 -3.0000000e-001  2.7066593e+001  3.0351718e+001  1.0192172e+003
  1.5500000e+001 -4.0000000e-001  2.7039913e+001  3.2168680e+001  1.0205941e+003
  1.5500000e+001 -5.0000000e-001  2.7019987e+001  3.2853628e+001  1.0211202e+003
  1.5500000e+001 -6.0000000e-001  2.7013323e+001  3.3023626e+001  1.0212502e+003
  1.5500000e+001 -7.0000000e-001  2.7010003e+001  3.3079998e+001  1.0212967e+003
  1.5500000e+001 -8.0000000e-001  2.7009998e+001  3.3096729e+001  1.0213134e+003
  1.5500000e+001 -9.0000000e-001  2.7006662e+001  3.3120064e+001  1.0213367e+003
  1.5500000e+001 -1.0000000e+000  2.7000000e+001  3.3160000e+001  1.0213700e+003
  1.6000000e+001  0.0000000e+000  2.7120000e+001  2.4900000e+001  1.0151000e+003
  1.6000000e+001 -1.0000000e-001  2.7093333e+001  2.7780000e+001  1.0172700e+003
  1.6000000e+001 -2.0000000e-001  2.7080000e+001  3.0530000e+001  1.0193400e+003
  1.6000000e+001 -3.0000000e-001  2.7090000e+001  3.2686667e+001  1.0209600e+003
  1.6000000e+001 -4.0000000e-001  2.7113333e+001  3.3976667e+001  1.0219267e+003
  1.6000000e+001 -5.0000000e-001  2.7126667e+001  3.4473333e+001  1.0223000e+003
  1.6000000e+001 -6.0000000e-001  2.7123333e+001  3.4613333e+001  1.0224133e+003
  1.6000000e+001 -7.0000000e-001  2.7113333e+001  3.4673333e+001  1.0224633e+003
  1.6000000e+001 -8.0000000e-001  2.7110000e+001  3.4703333e+001  1.0224933e+003
  1.6000000e+001 -9.0000000e-001  2.7100000e+001  3.4720000e+001  1.0225100e+003
  1.6000000e+001 -1.0000000e+000  2.7080000e+001  3.4720000e+001  1.0225200e+003
  1.6500000e+001  0.0000000e+000  2.7100000e+001  3.2000000e+001  1.0204300e+003
  1.6500000e+001 -1.0000000e-001  2.7110013e+001  3.2895075e+001  1.0211047e+003
  1.6500000e+001 -2.0000000e-001  2.7123384e+001  3.3722681e+001  1.0217254e+003
  1.6500000e+001 -3.0000000e-001  2.7136704e+001  3.4354273e+001  1.0222007e+003
  1.6500000e+001 -4.0000000e-001  2.7143370e+001  3.4724396e+001  1.0224808e+003
  1.6500000e+001 -5.0000000e-001  2.7146666e+001  3.4876790e+001  1.0226001e+003
  1.6500000e+001 -6.0000000e-001  2.7146673e+001  3.4926760e+001  1.0226401e+003
  1.6500000e+001 -7.0000000e-001  2.7153341e+001  3.4933304e+001  1.0226466e+003
  1.6500000e+001 -8.0000000e-001  2.7156661e+001  3.4926665e+001  1.0226467e+003
  1.6500000e+001 -9.0000000e-001  2.7156654e+001  3.4930028e+001  1.0226534e+003
  1.6500000e+001 -1.0000000e+000  2.7150000e+001  3.4950000e+001  1.0226700e+003
  1.7000000e+001  0.0000000e+000  2.7110000e+001  3.3740000e+001  1.0217400e+003
  1.7000000e+001 -1.0000000e-001  2.7113354e+001  3.3990452e+001  1.0219303e+003
  1.7000000e+001 -2.0000000e-001  2.7116696e+001  3.4254279e+001  1.0221307e+003
  1.7000000e+001 -3.0000000e-001  2.7123342e+001  3.4493828e+001  1.0223137e+003
  1.7000000e+001 -4.0000000e-001  2.7126659e+001  3.4673911e+001  1.0224504e+003
  1.7000000e+001 -5.0000000e-001  2.7126651e+001  3.4766750e+001  1.0225234e+003
  1.7000000e+001 -6.0000000e-001  2.7123317e+001  3.4803438e+001  1.0225534e+003
