%Estação A - Caravelas
%Agosto 28/08/2007
%Sizígia   
% prof h(t)=12,65 m
%      z(m)           u(m/s)        
 0.0000000e+000  1.1300000e+000
 0.5000000e+000  1.1300000e+000
 1.0000000e+000  1.1300000e+000
 1.5000000e+000  1.1300000e+000      
 2.0000000e+000  1.1300000e+000
 2.5000000e+000  1.1300000e+000
 3.0000000e+000  1.1200000e+000
 3.5000000e+000  1.1100000e+000
 4.0000000e+000  1.0900000e+000
 4.5000000e+000  1.0800000e+000
 5.0000000e+000  1.0760000e+000
 5.5000000e+000  1.0700000e+000
 6.0000000e+000  1.0600000e+000
 6.5000000e+000  1.0500000e+000
 7.0000000e+000  1.0300000e+000
 7.5000000e+000  1.0000000e+000
 8.0000000e+000  9.8000000e-001
 8.5000000e+000  9.5000000e-001
 9.0000000e+000  9.1000000e-001
 9.5000000e+000  8.7000000e-001
10.0000000e+000  8.3000000e-001
10.5000000e+000  7.8000000e-001
11.0000000e+000  7.1000000e-001
11.5000000e+000  5.9000000e-001
12.0000000e+000  4.0000000e-001
12.5000000e+000  1.1000000e-001 
12.6500000e+000  0.0000000e+000
