% ESTAÇÃO A - JANEIRO DE 2008
% Dados hidrográficos-Quadratura # 16/01/08
% Serie com 26 perfis # início 05:30 h até 18:00 h
%    Prof. (m)        Temp             Sal            Dens
  0.0000000e+000  2.8303000e+001  3.3414000e+001  1.0218333e+003
 -5.0000000e-001  2.8304000e+001  3.4302000e+001  1.0218552e+003
 -1.0000000e+000  2.8311000e+001  3.4469000e+001  1.0218958e+003
 -1.5000000e+000  2.8332000e+001  3.4524000e+001  1.0219302e+003
 -2.0000000e+000  2.8351000e+001  3.4594000e+001  1.0219766e+003
 -2.5000000e+000  2.8360000e+001  3.4618000e+001  1.0219917e+003
 -3.0000000e+000  2.8372000e+001  3.4635000e+001  1.0220005e+003
 -3.5000000e+000  2.8372000e+001  3.4670000e+001  1.0220268e+003
 -4.0000000e+000  2.8371000e+001  3.4672000e+001  1.0220286e+003
 -4.5000000e+000  2.8366000e+001  3.4679000e+001  1.0220355e+003
 -5.0000000e+000  2.8373000e+001  3.4677000e+001  1.0220317e+003
 -5.5000000e+000  2.8362000e+001  3.4683000e+001  1.0220398e+003
 -6.0000000e+000  2.8345000e+001  3.4698000e+001  1.0220567e+003
 -6.5000000e+000  2.8340000e+001  3.4711000e+001  1.0220681e+003
 -7.0000000e+000  2.8333000e+001  3.4720000e+001  1.0220772e+003
 -7.5000000e+000  2.8340000e+001  3.4727000e+001  1.0220801e+003
 -8.0000000e+000  2.8342000e+001  3.4725000e+001  1.0220780e+003
 -8.5000000e+000  2.8347000e+001  3.4759000e+001  1.0221019e+003
 -9.0000000e+000  2.8340000e+001  3.4770000e+001  1.0221125e+003
 -9.5000000e+000  2.8351000e+001  3.4760000e+001  1.0221013e+003
 -1.0000000e+001  2.8343000e+001  3.4766000e+001  1.0221085e+003
 -1.0500000e+001  2.8353000e+001  3.4762000e+001  1.0221022e+003
 -1.1000000e+001  2.8355000e+001  3.4766000e+001  1.0221045e+003
 -1.1500000e+001  2.8352000e+001  3.4778000e+001  1.0221145e+003
 -1.1900000e+001  2.8364406e+001  3.4776825e+001  1.0221096e+003
  0.0000000e+000  2.8163000e+001  3.4185000e+001  1.0219669e+003
 -5.0000000e-001  2.8148000e+001  3.4409000e+001  1.0219041e+003
 -1.0000000e+000  2.8221000e+001  3.4503000e+001  1.0219509e+003
 -1.5000000e+000  2.8280000e+001  3.4591000e+001  1.0219977e+003
 -2.0000000e+000  2.8292000e+001  3.4628000e+001  1.0220215e+003
 -2.5000000e+000  2.8314000e+001  3.4685000e+001  1.0220571e+003
 -3.0000000e+000  2.8329000e+001  3.4709000e+001  1.0220702e+003
 -3.5000000e+000  2.8344000e+001  3.4718000e+001  1.0220721e+003
 -4.0000000e+000  2.8349000e+001  3.4726000e+001  1.0220764e+003
 -4.5000000e+000  2.8352000e+001  3.4748000e+001  1.0220920e+003
 -5.0000000e+000  2.8351000e+001  3.4753000e+001  1.0220961e+003
 -5.5000000e+000  2.8348000e+001  3.4753000e+001  1.0220970e+003
 -6.0000000e+000  2.8347000e+001  3.4763000e+001  1.0221049e+003
 -6.5000000e+000  2.8340000e+001  3.4761000e+001  1.0221057e+003
 -7.0000000e+000  2.8343000e+001  3.4780000e+001  1.0221190e+003
 -7.5000000e+000  2.8330000e+001  3.4770000e+001  1.0221157e+003
