% Início da serie dia 22/08às 08:00 horas
% Caravelas - Estação A - Quadratura 
  8.0000000e+000  0.0000000e+000  2.4450000e+001  3.4000000e+001  1.0227528e+003 -1.6958589e-001  1.1858601e-002
  8.0000000e+000 -1.0000000e-001  2.4572782e+001  3.4037385e+001  1.0227496e+003 -1.7775806e-001  1.9101982e-002
  8.0000000e+000 -2.0000000e-001  2.4609227e+001  3.4191524e+001  1.0228606e+003 -2.1243880e-001 -1.0968606e-002
  8.0000000e+000 -3.0000000e-001  2.4714129e+001  3.4415857e+001  1.0230039e+003 -2.1344235e-001  1.1656788e-002
  8.0000000e+000 -4.0000000e-001  2.4784434e+001  3.4975177e+001  1.0234107e+003 -2.3996345e-001 -4.1885775e-003
  8.0000000e+000 -5.0000000e-001  2.4875198e+001  3.5696435e+001  1.0239339e+003 -3.1778756e-001 -2.7431565e-002
  8.0000000e+000 -6.0000000e-001  2.4885348e+001  3.5756703e+001  1.0239817e+003 -3.4020266e-001 -2.8590085e-002
  8.0000000e+000 -7.0000000e-001  2.4922412e+001  3.5970150e+001  1.0241371e+003 -3.5136008e-001 -2.2057218e-002
  8.0000000e+000 -8.0000000e-001  2.4949660e+001  3.6053202e+001  1.0241968e+003 -3.2773953e-001 -2.0824146e-002
  8.0000000e+000 -9.0000000e-001  2.4970128e+001  3.6121022e+001  1.0242471e+003 -2.8210685e-001 -3.0846327e-002
  8.0000000e+000 -1.0000000e+000  2.4980000e+001  3.6150000e+001  1.0242713e+003  0.0000000e+000  0.0000000e+000
  8.5000000e+000  0.0000000e+000  2.4180000e+001  3.4320000e+001  1.0230751e+003 -1.2761153e-001  2.4805169e-002
  8.5000000e+000 -1.0000000e-001  2.4619107e+001  3.4081952e+001  1.0227695e+003 -1.2470116e-001  2.9489107e-002
  8.5000000e+000 -2.0000000e-001  2.4592137e+001  3.4199360e+001  1.0228716e+003 -1.6293890e-001  2.1613086e-002
  8.5000000e+000 -3.0000000e-001  2.4570327e+001  3.4245503e+001  1.0229184e+003 -2.1368612e-001  2.3715463e-002
  8.5000000e+000 -4.0000000e-001  2.4614560e+001  3.4567757e+001  1.0231540e+003 -2.3955081e-001  3.0039282e-002
  8.5000000e+000 -5.0000000e-001  2.4767858e+001  3.4881153e+001  1.0233501e+003 -2.6051481e-001  1.1669796e-002
  8.5000000e+000 -6.0000000e-001  2.4851855e+001  3.5577989e+001  1.0238569e+003 -3.1704396e-001 -4.4444775e-002
  8.5000000e+000 -7.0000000e-001  2.4921569e+001  3.5958747e+001  1.0241289e+003 -3.0607264e-001 -2.2216609e-002
  8.5000000e+000 -8.0000000e-001  2.4948087e+001  3.6032239e+001  1.0241817e+003 -2.9072910e-001 -1.2755498e-002
  8.5000000e+000 -9.0000000e-001  2.4962254e+001  3.6059016e+001  1.0242029e+003 -3.4964708e-001  1.1823739e-002
  8.5000000e+000 -1.0000000e+000  2.4970000e+001  3.6060000e+001  1.0242066e+003  0.0000000e+000  0.0000000e+000
  9.0000000e+000  0.0000000e+000  2.4530000e+001  3.4260000e+001  1.0229254e+003 -6.4740582e-002  6.2519253e-002
  9.0000000e+000 -1.0000000e-001  2.4651586e+001  3.4216793e+001  1.0228617e+003 -6.2692629e-002  6.5523321e-002
  9.0000000e+000 -2.0000000e-001  2.4650339e+001  3.4248681e+001  1.0228915e+003 -1.0110621e-001  6.3923089e-002
  9.0000000e+000 -3.0000000e-001  2.4639338e+001  3.4237051e+001  1.0228913e+003 -1.3943236e-001  1.7724825e-002
  9.0000000e+000 -4.0000000e-001  2.4649632e+001  3.4295574e+001  1.0229378e+003 -2.1404450e-001 -1.4762147e-002
  9.0000000e+000 -5.0000000e-001  2.4684878e+001  3.4853396e+001  1.0233543e+003 -2.7070022e-001 -5.0678174e-002
  9.0000000e+000 -6.0000000e-001  2.4833721e+001  3.5917384e+001  1.0241192e+003 -2.9823332e-001 -8.5805253e-002
