% Canal de Piacaguera -  Junho/2001 # Quadratura
% Perfil residual de u e salinidade 
% u residual = 0.009 m/s # S residual=29.83 e ni=0.85
%       Z               S               v
  0.0000000e+000  2.8330000e+001  1.0500000e-001
 -1.0000000e-001  2.8698000e+001  8.3700000e-002
 -2.0000000e-001  2.9146000e+001  5.8500000e-002
 -3.0000000e-001  2.9642000e+001  3.1200000e-002
 -4.0000000e-001  2.9892000e+001  7.7000000e-003
 -5.0000000e-001  3.0078000e+001 -1.2700000e-002
 -6.0000000e-001  3.0213000e+001 -2.8200000e-002
 -7.0000000e-001  3.0322000e+001 -3.7100000e-002
 -8.0000000e-001  3.0407000e+001 -3.8400000e-002
 -9.0000000e-001  3.0464000e+001 -2.5400000e-002
 -1.0000000e+000  3.0492000e+001  0.0000000e+000
