% Canal de Piacaguera -  Julho/2001 # Sizígia
% Perfil residual de u e salinidade 
% u residual = 0.003 m/s # S residual = 29.24 # ni=0.85
%       Z               S               v
  0.0000000e+000  2.7990000e+001  3.2800000e-002
 -1.0000000e-001  2.8197000e+001  2.5900000e-002
 -2.0000000e-001  2.8506000e+001  1.8800000e-002
 -3.0000000e-001  2.8910000e+001  1.2200000e-002
 -4.0000000e-001  2.9218000e+001  7.3000000e-003
 -5.0000000e-001  2.9461000e+001  1.5000000e-003
 -6.0000000e-001  2.9637000e+001 -5.9000000e-003
 -7.0000000e-001  2.9760000e+001 -1.4300000e-002
 -8.0000000e-001  2.9842000e+001 -2.0100000e-002
 -9.0000000e-001  2.9885000e+001 -1.5600000e-002
 -1.0000000e+000  2.9908000e+001  0.0000000e+000
