FSIPost
Falmouth Scientific, Inc.
1140 Route 28A, PO Box 315
Cataumet, MA 02534-0315 U.S.A.
Phone: (508) 564 - 7640
FAX:   (508) 564 - 7643

Calibrated Data Text File: C:\deproas_meso\d2_7050.txt

    SCANS     PRES        TEMP        COND        OXCU        OXTM        FLUO        OBS        SAL*        DEN*        SV*        DEPTH*   
   3056      0.0787     22.1567     47.8820   1808.0000    167.0000      0.0000     13.0000     33.2487     22.8444   1525.3492      0.0780
   3057      0.1658     22.2707     48.4437   1682.0000    167.0000      0.0000  16359.0000     33.5980     23.0780   1526.0328      0.1643
   3058      0.2186     22.3551     49.0507   1682.0000    167.0000      0.0000  16359.0000     34.0045     23.3630   1526.7003      0.2167
   3059      0.2506     22.4101     49.6278   1682.0000    167.0000      0.0000  16359.0000     34.4103     23.6557   1527.2894      0.2485
   3060      0.3094     22.4641     50.2366   1682.0000    167.0000      0.0000  16359.0000     34.8416     23.9680   1527.9037      0.3067
   3061      0.3844     22.5066     50.7188   1682.0000    167.0000      0.0000  16359.0000     35.1833     24.2156   1528.3898      0.3811
   3062      0.4692     22.5401     51.0856   1682.0000    167.0000      0.0000  16359.0000     35.4422     24.4030   1528.7618      0.4652
   3063      0.5207     22.5656     51.3470   1682.0000    167.0000      0.0000  16359.0000     35.6254     24.5351   1529.0294      0.5162
   3064      0.5519     22.5836     51.5091   1682.0000    167.0000      0.0000  16359.0000     35.7371     24.6149   1529.1990      0.5472
   3065      0.6495     22.6001     51.6787   1682.0000    167.0000      0.0000  16359.0000     35.8559     24.7008   1529.3733      0.6439
   3066      0.7087     22.6131     51.8444   1682.0000    167.0000      0.0000  16359.0000     35.9746     24.7875   1529.5380      0.7026
   3067      0.7840     22.6256     51.9800   1681.0000    167.0000      0.0000  16356.0000     36.0701     24.8568   1529.6761      0.7773
   3068      0.8690     22.6376     52.0708   1681.0000    167.0000      0.0000  16356.0000     36.1311     24.9000   1529.7753      0.8615
   3069      0.9992     22.6501     52.1087   1681.0000    167.0000      0.0000  16356.0000     36.1502     24.9115   1529.8306      0.9907
   3070      1.0782     22.6546     52.1332   1681.0000    167.0000      0.0000  16356.0000     36.1656     24.9223   1529.8602      1.0690
   3071      1.1655     22.6581     52.1484   1681.0000    167.0000      0.0000  16356.0000     36.1746     24.9285   1529.8805      1.1555
   3072      1.2184     22.6611     52.1577   1675.0000    167.0000      0.0000   2797.0000     36.1793     24.9314   1529.8943      1.2080
   3073      1.2899     22.6636     52.1629   1675.0000    167.0000      0.0000   2797.0000     36.1813     24.9325   1529.9041      1.2788
   3074      1.3725     22.6651     52.1656   1675.0000    167.0000      0.0000   2797.0000     36.1822     24.9331   1529.9103      1.3608
   3075      1.4620     22.6666     52.1689   1675.0000    167.0000      0.0000   2797.0000     36.1834     24.9340   1529.9170      1.4495
   3076      1.5163     22.6686     52.1740   1675.0000    167.0000      0.0000   2797.0000     36.1858     24.9355   1529.9255      1.5033
   3077      1.5886     22.6711     52.1787   1675.0000    167.0000      0.0000   2797.0000     36.1873     24.9362   1529.9349      1.5750
   3078      1.6324     22.6731     52.1815   1675.0000    167.0000      0.0000   2797.0000     36.1879     24.9363   1529.9414      1.6184
   3079      1.6984     22.6756     52.1821   1675.0000    167.0000      0.0000   2797.0000     36.1862     24.9346   1529.9470      1.6838
   3080      1.7777     22.6766     52.1828   1675.0000    167.0000      0.0000   2797.0000     36.1859     24.9344   1529.9506      1.7625
   3081      1.8258     22.6771     52.1824   1675.0000    167.0000      0.0000   2797.0000     36.1852     24.9339   1529.9519      1.8102
   3082      1.8944     22.6761     52.1807   1647.0000    167.0000      0.0000    209.0000     36.1846     24.9341   1529.9498      1.8781
